Year,Week,GameID,Team Home Abbrev,Team Home Name, Team Home Score,Team Away Abbrev,Team Away Name,Team Away Score
1966,1,1966090200,MIA,dolphins,14,OAK,raiders,23
1966,1,1966090300,HOU,oilers,45,DEN,broncos,7
1966,1,1966090400,SD,chargers,27,BUF,bills,7
1966,1,1966091000,GB,packers,24,BAL,colts,3
1966,1,1966091101,WAS,redskins,14,CLE,browns,38
1966,1,1966091106,ATL,falcons,14,LA,rams,19
1966,1,1966091102,STL,cardinals,16,PHI,eagles,13
1966,1,1966091103,SF,49ers,20,MIN,vikings,20
1966,1,1966091104,PIT,steelers,34,NYG,giants,34
1966,1,1966091105,DET,lions,14,CHI,bears,3
1966,2,1966090900,MIA,dolphins,14,NYJ,jets,19
1966,2,1966091001,HOU,oilers,31,OAK,raiders,0
1966,2,1966091002,SD,chargers,24,BOS,patriots,0
1966,2,1966091100,BUF,bills,20,KC,chiefs,42
1966,2,1966091600,LA,rams,31,CHI,bears,17
1966,2,1966091803,PHI,eagles,23,ATL,falcons,10
1966,2,1966091809,STL,cardinals,23,WAS,redskins,7
1966,2,1966091804,PIT,steelers,17,DET,lions,3
1966,2,1966091805,MIN,vikings,23,BAL,colts,38
1966,2,1966091806,CLE,browns,20,GB,packers,21
1966,2,1966091807,DAL,cowboys,52,NYG,giants,7
1966,3,1966091808,DEN,broncos,10,BOS,patriots,24
1966,3,1966091802,BUF,bills,58,MIA,dolphins,24
1966,3,1966091801,OAK,raiders,10,KC,chiefs,32
1966,3,1966091800,NYJ,jets,52,HOU,oilers,13
1966,3,1966092510,DAL,cowboys,28,MIN,vikings,17
1966,3,1966092509,GB,packers,24,LA,rams,13
1966,3,1966092506,CLE,browns,28,STL,cardinals,34
1966,3,1966092505,PHI,eagles,35,NYG,giants,17
1966,3,1966092503,DET,lions,28,ATL,falcons,10
1966,3,1966092502,PIT,steelers,27,WAS,redskins,33
1966,3,1966092501,BAL,colts,36,SF,49ers,14
1966,3,1966093000,LA,rams,34,SF,49ers,3
1966,4,1966092500,BUF,bills,27,HOU,oilers,20
1966,4,1966092504,BOS,patriots,24,KC,chiefs,43
1966,4,1966092507,DEN,broncos,7,NYJ,jets,16
1966,4,1966092508,OAK,raiders,20,SD,chargers,29
1966,4,1966100208,NYG,giants,7,CLE,browns,28
1966,4,1966100204,WAS,redskins,24,PIT,steelers,10
1966,4,1966100205,ATL,falcons,14,DAL,cowboys,47
1966,4,1966100206,GB,packers,23,DET,lions,14
1966,4,1966100207,MIN,vikings,10,CHI,bears,13
1966,4,1966100200,PHI,eagles,10,STL,cardinals,41
1966,5,1966100202,DEN,broncos,40,HOU,oilers,38
1966,5,1966100203,SD,chargers,44,MIA,dolphins,10
1966,5,1966100209,BOS,patriots,24,NYJ,jets,24
1966,5,1966100201,KC,chiefs,14,BUF,bills,29
1966,5,1966100800,CLE,browns,41,PIT,steelers,10
1966,5,1966100903,WAS,redskins,33,ATL,falcons,20
1966,5,1966100901,DAL,cowboys,56,PHI,eagles,7
1966,5,1966100902,CHI,bears,27,BAL,colts,17
1966,5,1966100904,DET,lions,7,LA,rams,14
1966,5,1966100905,SF,49ers,21,GB,packers,20
1966,5,1966100906,OAK,raiders,21,MIA,dolphins,10
1966,6,1966100801,NYJ,jets,17,SD,chargers,16
1966,6,1966100802,BUF,bills,10,BOS,patriots,20
1966,6,1966100803,KC,chiefs,37,DEN,broncos,10
